id,comment_text,label,nbow_lr_pred,nbow_lr_prob,category,notes
d3e4d5d683fc11c7,NOW! REMOVE IT FROM YOUR SITE NOW! YOU DAMNED THIEVES!,1,0,0.101376,,
bcca77e2acdfda86,"""

Defense
DrKiernan, you are the voice of reason at Anna Anderson now. Hopefully, you will ignore the outright lies and stupidities of finneganw and aggiebean. What they call """"abusive"""" and """"harassing"""" is actually TRUTH. They are caught with their cybertrousers down and they don't like it. It truly is good to see these vile abusers sweating. If you decide to look into THEIR histories, you'll see they have a great deal to sweat about, including sock puppetry and other undisciplined rule-breaking. As for me, well, I'm here to fight NAZIs75.21.101.63  """,1,0,0.00334,,
2c96fb6c1ff707cb,"Just saying that it could be considered canvassing, not that it was canvassing. I did the same thing, without asking the editor to vote for my side, and it was said that I was canvassing. Then again, I have been called a troll, a human rights violator, a censorship supporter, (and recently) that I like to lick the the asses of other DYK contributors to get their approval, etc. /",1,0,2e-05,,
58a83f5f09e9eb8f,Thanks for your praise. Is there a Wikiproject for that historical atlas project you were talking about? I'll work on the next Cassell map conversion as I have time over the next few days. The biggest pain in the ass was erasing all the contemporary national borders from the giant map I found under Wikipedia:Blank maps.  (Talk) (Contrib),1,0,0.027842,,
df332f76533f73a1,"Um, the ethnic hatred was largely due to the Han Chinese or even minority Hui Muslims being more successful than Tibetans are. That's what they complained about. They did not complain about how some country invaded them almost years ago. That's why it was the poorest of the Tibetans rioting, not the middle class. The two Western reporters who interviewed residents both came to that conclusion. Maybe you should do more research on the topic before speaking? I know you're pro-tibet and probably Buddhist, you're really giving Pro-Tibet people a bad name with this biased garbage. 216.252.71.154",1,0,0.001711,,
ee7d63aae7c7c72f,So the fact Macedonian is a jew and has abusive opinions means nothing!!!,1,0,3e-05,,
0c51ef5d0c403a6d,to Donate to this group of buffoons,1,0,6e-06,,
b3d080de156d1367,"WHAT

First you warn me for something I fell I have not done. You have no right to warn me. You vandalised my page so I warned you. You have an attitude problem about things and need to stop thinking you are so powerfull but your really not. You powerfull and everything, but um, your really not. so STOP vandalising my page for GOD SAKES!",1,0,0.105663,,
349e5d3ad775929e,"""

The """"persian"""" language is actually from Aria, today's Herat in Afghanistan. So shouldn't Dari be the language and Persian the dialect??? Persian was not the native language of """"Persia"""", because """"Persia"""" was actually """"Elam"""" and their native tongue was """"Elamite""""!!! You bunch of filthy hypocrites!!! A nation goes to war and you rob them of everything, including their language! Things will change soon you bunch of filthy semitic Elamite rats!""",1,0,0.693927,,
9f1ad5866b8dab21,"you are vandalizing the page, you are the true vandal here",1,0,0.331147,,
c3cd4294d4830e9b,"CATGUT NEEDS TO STOP EATING CAT GUTS, THAT DEMENTED PER*ERT!",1,0,0.000363,,
a483d0c117332d38,That had more content and was going to be an article until you deleted it again dumbass.,1,0,0.861726,,
df7e8adc17e6f0d2,"""

 Hey, the only persons """"suffering"""" were those who read that bullshit, Wikipedia opening itself up to a Copyright infringement suit, and the credibility of those who are facilitating both.  The length of the protections will not influence my decision to revert the article back to a previous version that does not contain plagiarism.  22:02, Jan 27, 2005 (UTC)""",1,0,0.005734,,
60b1d5e4b63b0d3a,"fuckhead  

where is my ban??",1,0,0.001168,,
500b9e01140c9ec6,"I am a sock puppet? THAT is my ban reason? This is my only account, and thanks for ignoring the bulk of my text. Wikipedia IS corrupt AND populated by idiots. I am free to say this, so please refrain from saying anything like that again. I didn't get banned for trolling, or personal attacks, I got banned because I changed an article to NPOV when the far majority of the editors here would rather the see the BNP article as a diatribe denouncing the party.",1,0,0.193151,,
