id,comment_text,label,clean_text,nbow_lr_pred,nbow_lr_prob,category
0a9d850fafe780cd,"Just checked you history. You are a Kannada right? You don't have any history to write about Kannadigas? 

You motivated moron targeting and deleting Tamil identities in all possible ways.

I don't know how Wikipedia is allowing guys like you to go ahead with clear conflict of interest. I am writing to the highest authority about 5 guys like you playing with gods and history relating to India and Hinduism.

Will slipper you if i receive one more notification from you.",0,just checked you history you are a kannada right you do not have any history to write about kannadigas you motivated moron targeting and deleting tamil identities in all possible ways i do not know how wikipedia is allowing guys like you to go ahead with clear conflict of interest i am writing to the highest authority about 5 guys like you playing with gods and history relating to india and hinduism will slipper you if i receive one more notification from you,1,0.980527,
4b4f8c7ac4764e7a,"I'm curious, Eric, are the people at The Nation still laughably claiming that the VENONA transcripts are too unreliable to prove Alger Hiss was a spy for Soviets, or have they finally abandoned that ridiculous fiction?",0,i am curious eric are the people at the nation still laughably claiming that the venona transcripts are too unreliable to prove alger hiss was a spy for soviets or have they finally abandoned that ridiculous fiction,1,0.91382,
0d77b17744ce2bb0,"""
""""Hiram Caton"""", the AIDS denialist? This is your reliable source?   """,0,hiram caton the aids denialist this is your reliable source,1,0.995992,
9e3ef2061a95ff61,"""

 Racism, Noble savage, Orientalism and Araby 

No flaming intended, I just want balance to come to this subject.  Explain to the world, how putting Greek homosexuals on a pedestal, is in any way, shape, or form, NPOV.  You know, Greek scholars on the matter paint homosexuality in a different hue than outsiders who romanticize the subject (e.g. Oliver Stone's Alexander (film)).  They see homosexuality as existing all over the world and in all eras.  To portray Ancient Greece as some buggery paradise is prejudiced and ignorant, just as if they were all claimed to be paragons of heterosexual machismo.  Gay Greeks are your Wandering Jew.  Whenever I watched Hercules: The Legendary Journeys and Xena: Warrior Princess, homosexuality did not come to mind.  Perhaps the slash fiction community would rather Hercules and Xena """"get nasty"""" with their traveling companions, but that's beside the point.  You can't always have it to your fantasy or ideal, simply by calling other people """"narrow"""".  So far, you've succeeded in stereotyping Greeks as rabid homosexuals.  Out of all the characteristics of the Hellenic people, founders of Europe, you had to claim that their homosexuals were most importanteven iconic representations of the West.  Nobody said they were all straight either, which is something you have to admit.  Homosexual revisionism is not fact.   """,0,racism noble savage orientalism and araby no flaming intended i just want balance to come to this subject explain to the world how putting greek homosexuals on a pedestal is in any way shape or form npov you know greek scholars on the matter paint homosexuality in a different hue than outsiders who romanticize the subject e g oliver stone is alexander film they see homosexuality as existing all over the world and in all eras to portray ancient greece as some buggery paradise is prejudiced and ignorant just as if they were all claimed to be paragons of heterosexual machismo gay greeks are your wandering jew whenever i watched hercules the legendary journeys and xena warrior princess homosexuality did not come to mind perhaps the slash fiction community would rather hercules and xena get nasty with their traveling companions but that is beside the point you cannot always have it to your fantasy or ideal simply by calling other people narrow so far you have succeeded in stereotyping greeks as rabid homosexuals out of all the characteristics of the hellenic people founders of europe you had to claim that their homosexuals were most importanteven iconic representations of the west nobody said they were all straight either which is something you have to admit homosexual revisionism is not fact,1,0.997501,
c350b56646851989,"If you knew any better you would know that only bullshit gets published, and people like you try to delete the truth.",0,if you knew any better you would know that only bullshit gets published and people like you try to delete the truth,1,0.999965,
f9be2eeeca633915,LIVE FREE OR DIE TRYING!,0,live free or die trying,1,0.986332,
a5d0b624823afc56,"Why do not the two of you, the mentally retarded Jennygirl and the omnipotent Richie Rich, go together to Harrods and dont forget to choose together, being an authentically healthy and sociable couple,  time and location, maybe a restaurant,and then enjoy very evidentliy your meal and in case you should discover that you cant pay anymore, then do not expect them to let one of you peel the potatoes in return. Maybe they wont even say Hello when you come back after they would be kicking off your dipshit spinning incapable ass from the central perk. Enjoy yourselves and your longest sentence Johnny-come-lately.",0,why do not the two of you the mentally retarded jennygirl and the omnipotent richie rich go together to harrods and dont forget to choose together being an authentically healthy and sociable couple time and location maybe a restaurant and then enjoy very evidentliy your meal and in case you should discover that you cant pay anymore then do not expect them to let one of you peel the potatoes in return maybe they wont even say hello when you come back after they would be kicking off your dipshit spinning incapable ass from the central perk enjoy yourselves and your longest sentence johnny come lately,1,0.999733,
08f877b8f44d2410,Blocked because PeterSymonds is a Douchebag (see image),0,blocked because petersymonds is a douchebag see image,1,0.999475,
9d623c48cd2ba6c3,"""
Fine, Triple F...I was having a bad day, and as most already know, I'm easily angered, so that didn't help the fact. But, let me say something here:

Let's think for a few minutes. If AMIB had done this, no one would've done anything. The guy gets away with murder. He's constantly cursing his ass off, and NOTHING is ever said to him. If a user asks him to stop, he gets a way worse attitude, and then everyone leaves him alone. Why? He's removed plenty of valuble info from many articles. So let's just look at MY point of view for once, and see why. Shall we? Take a look around people! Wiki is full of this! And as always, I am the only one who gets in any trouble at all.    """,0,fine triple f i was having a bad day and as most already know i am easily angered so that did not help the fact but let me say something here let is think for a few minutes if amib had done this no one would have done anything the guy gets away with murder he is constantly cursing his ass off and nothing is ever said to him if a user asks him to stop he gets a way worse attitude and then everyone leaves him alone why he is removed plenty of valuble info from many articles so let is just look at my point of view for once and see why shall we take a look around people wiki is full of this and as always i am the only one who gets in any trouble at all,1,0.998866,
09cc07239afdf603,"""
Oh dear. I suppose I am now at the mercy of the """"douches"""" I was blocked for insulting.  I do appreciate the gesture, though. And you really are doing good work with this plagiarism stuff.  Although I am disenchanted with the editing experience, I still read Wikipedia articles every day, and you're one of the reasons they do not entirely suck.  
""",0,oh dear i suppose i am now at the mercy of the douches i was blocked for insulting i do appreciate the gesture though and you really are doing good work with this plagiarism stuff although i am disenchanted with the editing experience i still read wikipedia articles every day and you are one of the reasons they do not entirely suck,1,0.922674,
