id,comment_text,label,distilbert_pred,distilbert_prob,category,notes
510a0209577244de,"Harun Yahya/Adnan Oktar 

This is quoted from the wikipedia article on Harun Yahya:

Even though he often writes about science, he has never actually studied any science at a university level.  (, , )

There are also many disturbing data in that article: he claims to be a moral authority and an expert on Muslim ethics but has anal and oral sex with children, claiming that it is halal. If we are to keep his work in this article he needs to be demonstrated as having some standing as a Quranic scholar. Is he so received in the Muslim world? Is there any evidence for this?",1,0,0.003489,,
d5fb41df77b5b1d1,Don't forget to eat your cyanide tablets now that they found you.,1,0,0.00691,,
8fe9f38e01ddf88b,"""
Yeah I know what the word means, but it's not like his name was """"semen"""" or something like that. I guess what you and I find offensive differ. Whatev  """,1,0,0.000517,,
2632d182094d893c,this book is so boring nad dumb how could any one ever read itIn,1,0,0.399516,,
b1ba84c35a13f661,I'm talking about valid comments buddy.  Use your head.  You have it for a reason...,1,0,0.022008,,
c46d562a171f7288,"""

""""some white people considered black people to be intellectually and socially inferior"""" Only white people thought that? Let's forget about jews/arabs and asian peoples views ) A whole race of people that never invented a written language in 6000 years how could anyone think they are intellectually and socially inferior is crazy ) Must be evil white man again! Now i'm off to listen to black Mozart... oh wait... 
""",1,0,0.229198,,
ce39e5ba2f771266,"Your argument becomes even weaker if you're now going to rely upon your hopes and wishes that the subject has 'moved on'. It is clear that the person had psychiatric problems as a result of this episode, and that any reasonable person might deduce that such problems might be perpetuated and compounded by the digged determination to print the victim's name. Your 'genie in the bottle' analogy again ignores the points that have been made to you above; just because another publication prints his name doesn't mean WP has to, particularly as WP is more likely to be first port of call for anyone searching for information on the video. As for your hope that the article serves as a cautionary tale - how is the inclusion of his name going to further that 'hope'? Finally, you doidn't answer the question I posed, which in my opinion is the nub: 'perhaps you might put yourself in his shoes for one moment, and then ask yourself whether your determination to include what most agree is a non-essential detail has the potential to cause yet more hurt and upset to the victim here?'",1,0,0.004283,,
dec6254b349270e7,"Oh yes, the classic Armenain grandmothers spewing their hate venom.",1,0,0.017345,,
27454c2eb5f83019,yeah black peolpel rpck! @#=-+st++dhs,1,0,0.093489,,
344615554ec422f9,One word: freaks. -,1,0,0.065341,,
4c77e80b3f638664,"the problem started, when this propgandist deleted my comments! which is not allowed. i was responding to a personal attack on me! i dont see newtman being warmed, is it because you all are also zionist JEWS? i think so. And do not accuse me of being antisemitic, because it is not, i am anti-israel, and antizionist for the right reasons, which include policies! ZIONISM is as worse, or even worse and ISLAMIC fundamentalism86.139.179.254",1,0,0.125119,,
20fa4473f52d93d4,"Well,Goodbuy ISIS Terrorist.You will be block by 1 minute.118.101.61.104",1,0,0.004077,,
